Segment ID,day,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
188247,Weekend,NB,2.0,27.0,21.75,10.5,11.25,9.25,12.25,18.75,24.0,26.5,37.75,37.5,36.5,36.0,44.0,43.5,42.75,46.5,45.25,49.75,40.0,32.25,35.25,23.0,19.5,730.75
188247,Weekend,SB,2.0,25.75,18.25,17.5,18.25,13.5,13.75,21.0,25.25,21.75,25.75,31.75,33.5,30.75,40.75,46.0,33.25,41.25,46.25,32.25,39.0,36.75,27.75,22.75,19.0,681.75
188574,Weekday,EB,2.0,165.8,100.4,110.2,126.8,193.6,326.2,501.4,509.2,444.6,386.8,361.6,373.0,358.0,382.8,400.8,453.4,718.6,751.8,577.6,432.4,332.2,249.6,198.6,206.2,8661.6
188574,Weekday,WB,2.0,93.8,99.0,122.4,177.6,321.6,521.6,653.2,616.4,509.6,458.4,473.4,490.4,508.4,448.2,651.0,905.2,922.8,841.4,521.2,361.8,282.8,217.8,180.0,143.8,10521.8
188574,Weekend,EB,2.0,169.0,124.75,141.25,123.5,108.0,125.25,133.0,181.75,197.0,196.75,262.0,296.75,339.25,348.25,389.0,513.25,582.5,394.75,332.0,393.25,294.0,217.0,199.75,182.5,6244.5
188574,Weekend,WB,2.0,139.5,104.5,97.75,112.5,107.0,123.0,183.75,211.25,191.0,213.0,267.75,311.25,341.75,381.75,414.25,559.0,575.25,411.75,306.5,296.0,235.25,174.75,156.75,100.25,6015.5
189377,Weekday,NB,1.0,131.0,63.0,41.6,46.0,120.2,526.4,2218.4,3272.4,3009.4,2190.8,1803.2,1764.6,1575.0,1578.4,1803.8,2259.4,2422.0,2491.6,2332.4,1555.0,1056.0,744.0,551.8,316.2,33872.6
189377,Weekend,NB,1.0,346.5,201.75,101.5,77.25,112.0,215.0,494.75,746.0,1202.25,1659.5,1994.0,2253.0,2430.0,2148.0,2029.75,2120.0,2268.25,2443.25,2223.75,1759.0,1430.25,1027.5,717.0,471.5,30471.75
190253,Weekday,EB,4.0,673.8,365.0,225.0,239.2,676.6,1318.8,1925.4,2205.8,2110.8,1742.6,1768.6,1790.2,1846.6,1942.6,2241.6,2583.4,2542.0,2536.2,2488.8,2185.4,2015.0,1601.0,1353.2,842.0,39219.6
190253,Weekday,NB,4.0,1292.8,822.8,563.6,599.8,1200.0,1842.4,2374.4,2808.0,2764.2,2442.2,2352.8,2511.8,2630.6,2826.2,3249.2,3506.6,3450.4,3493.0,3412.6,2880.4,2449.4,2195.8,2058.4,1839.6,55567.0
190253,Weekend,EB,4.0,1217.0,1017.75,696.25,618.75,675.25,693.5,993.25,1221.5,1410.0,1561.0,1685.0,1717.5,1824.75,1873.75,1812.25,1945.75,1910.0,2029.25,2033.0,2090.0,1995.5,1604.0,1256.0,1054.5,34935.5
190253,Weekend,NB,4.0,1671.5,1460.0,1119.25,1002.0,1146.25,1092.75,1306.5,1609.5,1953.5,2262.5,2475.25,2564.5,2663.25,2535.0,2685.25,2595.75,2546.0,2749.75,2611.0,2435.75,2242.0,2057.5,1965.75,1906.25,48656.75
190429,Weekday,EB,2.0,426.8,355.0,395.4,555.4,851.2,1128.0,1366.0,1553.6,1530.8,1366.0,1158.6,1164.4,1138.6,1057.8,1140.2,1076.2,1022.2,993.2,956.4,822.0,652.4,578.6,539.8,525.2,22353.8
190429,Weekend,EB,2.0,377.75,302.25,232.5,243.5,292.0,349.75,482.25,554.75,612.5,676.75,707.25,765.5,849.0,836.5,892.0,785.25,744.75,725.5,747.75,683.5,568.75,550.25,484.0,447.75,13911.75
190690,Weekday,NB,3.0,1140.4,656.8,422.0,379.4,662.6,1657.0,3033.4,4049.2,4303.0,4001.8,3748.0,3544.0,3533.2,3881.4,4379.8,4456.2,4299.2,4082.8,4096.0,3907.6,3453.2,2819.4,2308.0,1797.4,70611.8
190690,Weekend,NB,3.0,1968.0,1240.25,828.25,584.5,680.75,1007.5,1851.25,2568.5,3207.0,3925.5,4128.75,3819.5,3840.75,4025.5,4200.0,4329.25,4188.75,4125.25,4032.75,3915.25,3586.0,3131.75,2686.0,2260.5,70131.5
190861,Weekday,EB,2.0,126.4,96.2,63.4,50.2,59.0,74.2,133.6,215.4,232.8,243.8,219.0,246.8,247.2,236.6,280.6,290.2,322.4,325.0,302.4,290.2,256.6,242.4,181.2,155.8,4891.4
190861,Weekend,EB,2.0,196.25,159.5,134.5,127.25,124.75,93.25,93.0,120.75,138.5,167.25,190.25,218.75,279.5,310.25,303.25,329.25,317.5,332.25,303.25,297.75,291.5,307.5,241.25,208.25,5285.5
