,Segment ID,day,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
3206,9007479,Weekend,4.0,118.25,88.75,58.25,44.5,48.0,55.25,92.0,163.75,271.75,345.25,413.5,428.0,469.0,461.5,433.75,423.0,418.75,399.25,363.25,319.25,273.75,219.5,177.75,142.25,6228.25
3207,9007483,Weekday,4.0,87.9,56.4,42.0,40.1,63.0,132.5,214.5,455.8,530.9,454.3,486.6,454.1,507.2,503.7,525.2,566.5,530.7,509.6,526.5,488.7,422.9,354.2,220.4,141.2,8314.9
3208,9007483,Weekend,4.0,128.25,85.625,60.125,59.375,55.875,74.0,135.875,208.0,337.375,407.75,423.5,483.125,500.0,468.25,449.75,438.75,432.75,400.125,377.625,340.25,307.25,245.625,212.5,155.125,6786.875
3209,9007484,Weekday,4.0,147.0,101.4,60.4,38.2,39.2,54.6,145.2,405.8,684.6,709.0,616.4,549.6,530.6,621.6,679.0,716.4,752.8,811.0,844.4,776.6,599.0,480.2,358.8,272.6,10994.4
3210,9007484,Weekend,4.0,198.0,129.75,105.0,76.0,73.5,61.5,84.0,179.25,292.25,431.75,455.0,452.75,519.75,570.5,514.5,574.0,543.0,525.5,470.5,422.5,380.75,334.0,289.75,227.5,7911.0
3211,9007488,Weekday,4.0,132.0,74.0,49.8,36.6,49.1,91.4,295.5,697.0,781.2,663.3,597.3,550.8,588.7,647.6,656.6,704.4,770.8,759.2,699.4,542.3,450.8,377.0,284.9,193.9,10693.6
3212,9007488,Weekend,4.0,160.125,112.625,82.625,73.625,73.75,64.625,103.5,206.75,397.375,431.625,404.0,449.625,546.125,521.125,520.5,524.875,535.5,479.0,438.375,444.125,385.25,306.625,291.625,211.375,7764.75
3214,9007754,Weekend,1.0,528.5,446.25,368.5,302.75,244.5,205.25,258.75,391.5,516.25,584.5,682.0,716.75,769.0,755.75,769.5,823.25,810.5,837.5,820.5,818.5,665.5,579.5,530.0,486.25,13911.25
3213,9007754,Weekday,1.0,356.0,269.6,182.0,148.4,174.4,299.8,619.0,897.2,920.4,799.6,692.4,713.4,694.0,665.4,739.4,709.0,782.0,927.0,931.8,797.8,709.8,636.2,556.8,468.4,14689.8
3215,9008113,Weekday,2.0,143.4,90.4,53.0,55.6,79.6,162.8,277.8,470.8,519.2,423.8,380.6,396.4,397.8,484.4,545.8,625.8,657.8,680.0,620.2,497.8,376.2,325.0,260.4,228.4,8753.0
3216,9008113,Weekend,2.0,263.25,204.5,142.5,128.25,132.0,117.75,158.75,229.25,289.5,353.75,401.5,406.0,480.0,482.75,520.5,533.75,500.5,522.75,508.0,477.75,421.75,375.0,307.0,205.25,8162.0
3217,9008115,Weekday,2.0,61.6,35.8,30.6,29.8,26.6,51.6,142.0,293.0,255.8,254.4,233.4,233.4,246.8,263.2,338.6,369.4,374.2,359.2,320.4,241.8,177.6,155.6,128.2,104.2,4727.2
3218,9008115,Weekend,2.0,117.75,86.75,57.0,56.5,64.25,46.75,82.0,114.0,163.25,216.75,255.75,261.5,270.0,275.5,250.75,285.5,280.25,273.75,254.0,247.0,242.0,183.5,148.75,115.75,4349.0
3219,9008505,Weekday,2.0,102.6,50.4,40.8,53.0,161.8,778.0,2601.4,2954.8,2564.6,2044.8,1655.0,1587.2,1550.8,1621.2,1897.2,2262.4,2482.6,2469.8,2229.0,1400.8,956.8,679.8,484.4,264.4,32893.6
3220,9008505,Weekend,2.0,278.25,143.0,73.75,71.25,112.25,261.5,565.75,819.0,1246.75,1684.0,1967.5,2267.5,2330.25,2014.25,2006.5,2137.75,2295.5,2418.25,2118.25,1681.0,1343.25,946.5,658.0,407.5,29847.5
3221,9008507,Weekday,2.0,309.0,119.0,70.0,41.4,75.0,188.2,749.4,1727.0,1736.2,1160.2,1144.0,1145.6,1206.8,1411.0,1822.8,2194.0,2579.8,2831.8,2670.0,1905.0,1385.2,1259.0,1075.2,773.4,29579.0
3222,9008507,Weekend,2.0,686.5,330.5,209.75,144.25,124.75,112.0,264.0,545.75,895.5,1161.75,1488.5,1802.75,1816.75,1764.0,1818.25,2112.25,2403.25,2174.0,1829.25,1475.25,1423.5,1221.25,983.75,824.5,27612.0
3223,9008556,Weekday,2.0,56.0,36.9,32.2,33.6,46.0,147.4,522.9,654.4,653.3,563.9,472.7,505.2,487.7,533.0,636.5,671.6,696.1,683.5,520.3,304.9,204.8,136.1,105.2,90.4,8794.6
3224,9008556,Weekend,2.0,97.875,78.375,58.5,55.375,48.125,51.875,97.125,133.125,169.0,178.75,197.375,298.5,328.625,338.375,396.75,339.25,340.5,322.375,323.375,284.375,226.625,196.125,138.5,103.5,4802.375
3226,9008598,Weekend,2.0,55.0625,40.1875,32.0625,27.9375,26.5625,24.6875,27.0,44.8125,47.0,62.0625,73.0,80.9375,82.5625,89.9375,92.4375,89.25,88.5,92.0,96.75,85.875,75.8125,65.8125,61.5625,48.375,1510.1875
3225,9008598,Weekday,2.0,27.3,19.85,13.3,10.55,18.15,36.0,66.15,95.6,88.45,74.25,62.5,72.5,71.85,76.95,100.4,105.75,105.05,101.65,95.35,84.95,71.3,62.5,51.45,39.9,1551.7
3227,9008622,Weekday,4.0,87.6,44.6,31.8,43.8,103.2,286.2,757.0,1202.0,916.4,547.0,422.6,408.4,437.6,482.4,539.2,511.2,492.2,498.2,489.8,417.6,334.6,270.8,258.2,175.4,9757.8
3228,9008622,Weekend,4.0,173.5,96.0,74.75,76.75,83.75,115.25,260.0,280.25,351.25,394.5,436.0,441.5,456.5,487.75,535.75,476.25,449.25,452.25,464.75,426.0,331.75,299.5,289.0,196.5,7648.75
3229,9008637,Weekday,4.0,89.6,55.8,35.6,27.2,40.4,84.4,264.4,645.2,668.0,464.6,416.0,418.8,421.4,462.0,550.8,642.8,673.6,716.4,621.6,479.0,367.2,290.4,239.0,164.8,8839.0
3230,9008637,Weekend,4.0,134.75,90.25,58.0,48.25,51.25,49.75,78.0,160.25,264.75,366.0,383.0,413.75,452.0,485.0,461.25,467.0,489.0,455.75,395.75,371.0,320.25,262.75,230.0,177.25,6665.0
3231,9008639,Weekday,4.0,75.6,41.4,35.6,25.0,42.0,97.0,237.8,583.4,634.2,494.6,434.4,441.8,461.6,482.6,578.0,606.8,626.2,656.4,565.6,469.4,339.8,254.2,205.2,127.4,8516.0
3232,9008639,Weekend,4.0,116.5,87.0,52.25,44.25,39.5,61.0,110.75,204.5,352.75,467.75,454.25,490.5,515.0,497.5,494.0,453.25,455.0,450.25,434.5,362.75,276.75,237.0,187.75,138.25,6983.0
3233,9008739,Weekday,4.0,34.8,21.2,15.4,15.8,15.2,192.8,1216.6,1398.6,1274.4,935.2,396.2,264.4,259.4,384.2,416.8,332.6,428.8,444.2,326.2,288.4,167.8,136.8,94.4,77.6,9137.8
3234,9008739,Weekend,4.0,58.5,39.75,29.5,17.75,18.0,17.5,56.75,115.0,158.75,272.5,274.5,278.75,312.0,291.0,451.5,483.5,368.25,470.5,394.25,208.5,137.25,121.0,120.75,79.5,4775.25
3235,9008825,Weekday,2.0,204.4,112.0,67.4,62.2,87.6,245.6,886.8,1201.4,1131.8,982.0,923.6,913.2,921.0,1013.4,1167.6,1353.0,1353.4,1387.4,1181.6,968.2,714.0,527.8,440.8,367.8,18214.0
3236,9008825,Weekend,2.0,368.75,255.75,178.5,126.75,121.0,151.5,246.75,458.25,545.25,640.5,791.5,924.0,992.0,1028.25,1043.75,1053.5,1015.5,937.5,927.0,950.75,753.5,617.0,520.25,437.0,15084.5
3238,9008826,Weekend,2.0,339.25,240.375,155.0,111.875,126.625,161.625,272.75,469.375,561.25,699.5,856.125,988.375,1033.25,1004.25,981.125,1007.5,915.0,852.375,827.25,827.125,693.875,554.75,481.75,431.125,14591.5
3237,9008826,Weekday,2.0,194.9,112.2,62.8,59.6,104.8,275.7,847.5,879.9,838.6,855.5,888.8,895.3,917.0,962.7,1054.1,1074.7,1042.4,990.9,1002.1,898.7,674.4,518.9,453.7,391.6,15996.8
3239,9008829,Weekday,2.0,199.2,106.2,68.8,59.2,99.8,259.8,662.8,917.4,998.0,860.6,743.0,736.8,773.2,796.6,879.0,949.8,961.2,930.2,884.0,763.0,618.8,540.8,441.8,355.8,14605.8
3240,9008829,Weekend,2.0,362.25,234.25,177.5,137.5,140.5,147.25,281.75,404.5,424.25,459.75,551.5,642.0,728.5,793.0,893.5,897.75,861.75,865.5,866.5,759.5,660.5,545.25,453.25,380.0,12668.0
3241,9008830,Weekday,2.0,213.4,132.7,81.8,75.7,130.1,319.2,705.2,1041.9,1133.8,1010.1,884.6,909.3,983.1,972.7,1017.0,1031.8,992.2,934.2,943.5,889.0,686.0,591.0,450.5,356.1,16484.9
3242,9008830,Weekend,2.0,347.125,242.375,176.5,135.125,138.75,176.5,336.5,425.875,480.875,550.875,631.375,734.5,841.5,926.375,981.625,1013.0,986.5,971.375,949.25,821.0,699.875,556.75,491.875,398.625,14014.125
3243,9008891,Weekday,2.0,718.4,347.2,202.4,211.6,429.8,1284.6,2824.4,4038.4,4030.0,3340.4,2911.2,2783.2,2901.2,2993.0,3396.2,3660.2,3717.0,3583.8,3597.8,3436.2,2792.4,2324.8,2008.8,1341.8,58874.8
3244,9008891,Weekend,2.0,1390.25,787.0,467.5,352.0,396.75,643.75,1197.75,1959.0,2509.75,3233.75,3318.75,3668.5,3709.5,3689.75,3632.5,3637.75,3711.25,3644.75,3446.75,3225.75,2926.25,2633.25,2151.0,1587.5,57920.75
3245,9008895,Weekday,2.0,541.4,280.8,185.8,213.0,577.2,1654.8,3286.4,4088.2,3559.6,3049.2,2589.6,2485.4,2654.4,2698.2,2917.4,3366.2,3685.2,3791.8,3602.2,3206.4,2616.4,1987.4,1600.6,1026.8,55664.4
3246,9008895,Weekend,2.0,1023.5,636.5,358.75,304.75,403.0,650.0,1090.25,1447.25,1830.5,2517.25,3024.25,3552.25,3588.0,3723.0,3730.75,3518.25,3835.75,4002.25,3900.5,3355.5,3065.75,2404.0,1889.0,1330.5,55181.5
3247,9008935,Weekday,4.0,166.8,91.4,51.6,36.8,44.4,66.6,167.4,424.6,575.0,417.6,394.0,366.0,429.0,429.2,602.0,904.6,1043.0,1264.0,991.6,676.8,491.0,371.6,325.2,268.6,10598.8
3248,9008935,Weekend,4.0,267.75,178.5,118.75,91.25,99.5,66.0,100.5,199.0,285.75,294.0,333.5,385.5,449.25,518.25,583.0,612.0,568.0,535.0,493.25,496.75,449.5,363.5,294.25,273.5,8056.25
3249,9009052,Weekday,1.0,52.4,31.5,21.7,17.1,30.5,56.6,114.5,190.4,197.3,145.8,156.5,166.6,148.0,177.1,191.9,185.9,180.4,179.4,164.3,158.2,125.3,117.1,93.6,78.9,2981.0
3250,9009052,Weekend,1.0,66.625,45.625,27.875,23.0,20.125,28.5,33.0,59.375,81.375,117.125,147.125,166.75,138.75,150.625,140.75,132.5,115.25,135.375,118.0,108.5,97.375,89.0,67.75,63.75,2174.125
3252,9009379,Weekend,3.0,205.5,175.125,133.0,119.375,110.875,79.75,95.375,127.875,154.625,192.75,253.375,261.125,288.125,319.25,342.625,337.25,350.625,341.375,342.5,296.5,267.5,248.625,229.875,202.0,5475.0
3251,9009379,Weekday,3.0,142.0,84.3,58.5,47.9,52.4,98.9,260.2,302.7,278.9,265.7,271.2,265.3,264.4,272.6,270.0,249.9,293.4,312.5,293.0,284.6,259.7,223.8,197.2,189.0,5238.1
3253,9009503,Weekday,1.0,1582.2,873.2,553.8,408.4,449.8,560.4,1298.8,2195.6,2288.4,1998.8,2041.6,2187.0,2358.8,2610.4,3082.8,3318.0,2822.4,2550.6,2578.6,2905.4,2904.4,2888.0,3195.4,2477.4,50130.2
3254,9009503,Weekend,1.0,2095.25,1893.75,1375.0,1055.0,900.75,580.0,749.0,1099.0,1540.5,1845.25,2029.0,2276.75,2487.75,2620.5,2891.5,3140.0,3298.25,3122.25,2874.75,2787.5,2678.0,2469.25,2665.25,2284.75,50759.0
3255,9009505,Weekday,1.0,959.0,576.6,438.6,422.4,701.8,2139.2,4128.8,4273.4,3979.2,3611.8,3485.0,3081.2,2711.4,2775.4,2990.8,3184.2,3228.2,3177.2,3297.4,2873.6,2306.4,2202.0,2162.0,1712.2,60417.8
3256,9009505,Weekend,1.0,1705.25,1319.25,879.0,660.25,655.5,1065.75,1705.0,1958.75,2380.25,2649.5,2877.5,3079.75,3097.25,3045.0,3190.5,3185.5,3196.0,3113.0,3145.0,3020.5,2545.25,2250.0,2047.0,1651.75,54422.5
3257,9009662,Weekday,1.0,1818.8,956.8,563.4,459.0,670.0,1547.2,2997.8,4064.8,4397.0,3937.4,3450.2,3331.6,3381.4,3485.4,3685.0,4165.6,4212.2,4271.4,3948.4,3688.4,3770.0,3350.4,3107.6,2836.4,72096.2
3258,9009662,Weekend,1.0,2814.5,1949.25,1523.25,1186.75,1068.75,885.0,1375.5,1942.25,2212.0,2353.75,2666.0,3013.5,3220.25,3264.0,3420.5,3620.0,3718.25,3532.0,3597.5,3540.5,3443.5,3133.5,2976.5,3001.25,63458.25
3259,9009764,Weekday,2.0,84.4,61.4,47.9,42.4,51.1,71.2,147.9,242.6,284.3,245.4,227.2,223.3,237.5,249.5,268.8,296.1,303.5,305.2,281.2,242.1,202.3,166.6,150.9,123.3,4556.1
3260,9009764,Weekend,2.0,147.375,130.5,100.375,86.0,79.125,85.875,89.625,113.875,139.875,178.125,204.25,212.75,229.0,245.5,257.5,254.875,246.75,256.25,258.0,243.625,233.5,191.625,184.25,157.625,4326.25
3261,9009765,Weekday,2.0,88.1,59.7,45.7,46.2,53.3,65.0,146.9,277.0,302.5,275.4,271.3,256.3,269.6,275.9,329.2,340.3,377.7,346.3,304.2,251.3,208.2,175.1,129.8,111.0,5006.0
3262,9009765,Weekend,2.0,141.375,115.5,98.75,83.375,87.375,86.0,81.75,104.875,116.625,164.875,198.25,215.375,218.625,246.375,266.375,269.125,260.125,252.125,255.875,239.0,217.75,190.75,179.75,149.25,4239.25
3264,9009984,Weekend,2.0,140.125,100.0,63.75,52.5,51.875,70.0,137.375,195.5,197.625,205.125,236.375,285.375,305.0,343.375,353.875,370.875,379.875,365.0,344.5,295.25,226.125,185.875,161.25,148.75,5215.375
3263,9009984,Weekday,2.0,90.2,59.9,42.2,37.0,56.8,126.8,461.9,687.8,607.3,359.7,291.4,295.4,311.7,309.0,373.6,428.1,446.0,460.7,413.7,330.0,260.9,188.4,165.8,140.1,6944.4
3265,9011956,Weekday,5.0,530.2,331.4,205.6,178.0,268.2,625.8,1302.4,1831.2,2041.4,1869.4,1811.6,1802.4,1908.2,2134.6,2422.6,2368.4,2310.4,2230.2,2284.8,2009.6,1645.2,1222.4,1072.0,728.0,35134.0
3266,9011956,Weekend,5.0,749.0,397.75,250.0,140.75,97.75,303.25,680.5,1153.5,1536.75,1897.25,2117.5,2363.25,2428.5,2415.25,2293.0,2179.25,2169.25,2004.25,1878.5,1781.5,1482.25,1283.75,1184.5,961.0,33748.25
3267,9011960,Weekday,5.0,568.4,380.8,366.2,504.2,1056.8,2467.4,1876.0,2075.8,2025.4,2054.4,1888.6,1793.8,1730.6,1806.4,1986.8,1892.8,1893.2,1915.4,1936.4,1670.6,1368.6,1180.0,976.2,793.4,36208.2
3268,9011960,Weekend,5.0,790.0,500.25,390.0,333.75,413.75,673.5,868.75,1055.0,1269.25,1618.5,1847.75,2167.75,2188.25,2139.75,2286.25,2222.5,2122.5,2404.75,2205.0,2322.75,2135.0,1757.5,1349.0,1035.75,36097.25
3269,9012002,Weekday,2.0,1384.8,1033.6,877.6,1014.4,1387.6,2481.0,4160.2,4384.8,3643.0,4174.6,4098.2,4263.2,4152.6,4174.2,4286.4,4110.4,3790.2,3815.6,3995.0,3953.8,3579.4,3121.6,2658.2,2123.2,76663.6
3270,9012002,Weekend,2.0,2052.0,1643.5,1221.25,1007.5,1097.0,1289.5,1974.25,2809.25,3332.0,3800.75,4130.5,4241.0,4141.25,4013.0,3907.0,3873.75,3793.5,3814.5,3917.25,4038.5,3767.75,3225.75,2853.0,2345.0,72288.75
3271,9012004,Weekday,2.0,1380.4,1007.6,842.2,880.8,1282.0,2795.2,4498.2,4607.6,4092.8,3746.6,3866.6,4009.0,4217.4,4324.0,4665.0,4668.2,4590.2,4681.8,4462.6,3956.0,3714.4,2883.2,2651.0,2054.6,79877.4
3272,9012004,Weekend,2.0,2034.5,1492.0,1069.25,809.25,948.0,1140.75,1744.75,2335.25,2941.25,3529.5,4026.5,4538.75,4523.25,4636.5,4848.5,4635.25,4730.75,4595.75,4647.0,4430.75,3888.0,3326.5,2823.5,2373.25,76068.75
3273,9012150,Weekday,4.0,3604.6,2273.4,1460.6,1193.8,1565.6,2818.6,4202.2,5195.8,5255.2,4595.0,4548.2,4795.4,5097.2,5520.2,5760.4,4967.4,4046.2,3932.4,4330.8,4635.8,5042.0,4965.2,4672.0,4269.2,98747.2
3274,9012150,Weekend,4.0,4435.75,3332.5,2714.25,2401.5,2551.75,2769.5,3020.0,3451.75,4065.0,4040.5,4388.5,4877.25,5279.75,5565.25,5749.25,5651.5,4884.25,4398.0,4393.75,5159.0,4827.5,4661.0,4434.75,4324.25,101376.5
3276,9012152,Weekend,4.0,2927.5,2167.0,1609.5,1430.75,1735.25,2257.75,3434.25,3805.25,4105.75,4523.0,4851.25,5097.75,5239.5,5366.5,5536.0,5228.5,4532.0,4114.5,4168.75,4632.5,4461.5,4080.5,3808.25,3397.5,92511.0
3275,9012152,Weekday,4.0,2057.0,1308.6,813.2,951.2,1803.2,4209.6,5880.4,5924.0,5316.6,4532.4,4655.6,4383.0,4452.6,4802.4,5016.8,4393.6,3718.4,3660.6,3677.8,3726.4,3935.8,4028.6,4091.0,3063.0,90401.8
3278,9012249,Weekend,2.0,2635.0,2139.5,1819.5,1524.5,1657.5,1601.5,1970.25,2633.25,3090.75,3355.0,4079.0,4455.25,4631.0,4847.25,4718.25,4885.5,4844.5,4911.5,4736.75,4668.25,4469.0,4073.0,3559.0,2923.0,84228.0
3277,9012249,Weekday,2.0,1697.0,1300.8,1234.6,1504.2,2087.8,3217.2,4175.8,4629.8,4902.2,5153.6,4431.8,4551.6,4745.0,4606.6,5084.2,5005.8,5022.0,4667.4,4537.6,4664.8,3910.8,3386.6,2733.0,2171.2,89421.4
3279,9012251,Weekday,2.0,1539.4,1216.6,1077.8,1168.2,1617.8,3052.8,4504.0,4537.0,4471.0,4171.6,4035.6,4043.6,4034.2,3729.2,3519.0,3499.2,3330.0,3566.2,3686.6,3726.6,3382.6,2945.0,2728.4,2164.6,75747.0
3280,9012251,Weekend,2.0,2321.0,1844.25,1518.0,1309.0,1433.25,1619.5,2368.25,2932.25,3436.75,4079.0,4420.5,4395.0,4456.5,4511.75,4394.25,4476.5,4236.0,3983.25,4348.75,3449.75,3927.75,3387.75,3167.5,2664.75,78681.25
3281,9012452,Weekday,4.0,1057.2,628.4,422.6,333.8,512.6,1182.6,2686.2,2812.8,2540.8,2546.8,2404.0,2353.8,2402.6,2573.4,2484.8,2183.4,2035.8,1859.8,2102.4,2444.6,2552.2,2237.4,1837.6,1570.6,45766.2
3282,9012452,Weekend,4.0,1734.25,1211.75,887.5,669.0,655.25,642.25,1084.75,1580.25,2173.5,2582.5,2965.75,3102.75,3100.5,2901.0,2841.0,2792.75,2885.75,2882.5,3014.5,2956.75,2931.5,2545.0,2270.25,1844.25,52255.25
3283,9012455,Weekday,4.0,1955.2,1141.4,661.0,448.4,592.8,1280.4,3725.2,3263.6,2389.0,2643.2,2966.0,3337.0,3387.2,3574.0,3568.8,3667.6,3447.8,3256.0,3220.8,3012.4,3298.4,3404.4,2987.8,2700.0,63928.4
3284,9012455,Weekend,4.0,2897.0,2014.25,1294.5,911.5,781.5,956.5,1606.5,2459.5,2985.0,3372.25,3851.75,4045.5,4024.5,3862.75,3925.75,3564.5,2906.25,2987.5,2933.0,2815.75,3121.0,3312.75,3329.75,2910.75,66870.0
3285,9012502,Weekday,3.0,954.8,547.6,341.2,321.0,613.0,1904.8,3579.2,3937.6,3897.4,3518.0,3234.0,3142.0,3161.4,3431.0,3911.6,3957.8,4119.2,4167.8,3953.4,3634.0,2990.6,2400.0,2078.4,1574.4,65370.2
3286,9012502,Weekend,3.0,1551.0,1027.25,672.0,527.0,612.5,1018.25,1713.5,2105.75,2553.0,2885.25,3135.0,3388.5,3655.25,3664.0,3835.5,3850.5,3949.5,4010.5,3678.75,3619.0,3163.5,2772.25,2508.0,2032.75,61928.5
3287,9012504,Weekday,3.0,935.8,488.6,379.2,395.8,730.2,1732.0,3465.6,3809.2,3919.4,3700.2,3252.8,3162.2,3220.6,3628.6,3889.4,3797.4,3629.6,3707.4,3595.4,3510.0,2975.6,2459.0,1991.8,1517.2,63893.0
3288,9012504,Weekend,3.0,1548.25,1058.5,718.75,576.0,705.0,972.75,1447.25,1855.25,2489.5,3022.25,3486.25,3860.0,4086.5,3961.75,3697.75,3817.5,3868.5,3707.75,3621.75,3560.0,3146.5,2740.25,2391.0,1940.75,62279.75
