,Segment ID,day,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
19,2984,Weekend,5.0,34.75,17.25,13.0,8.0,8.75,10.0,13.0,33.75,72.0,103.0,110.0,150.75,149.0,144.75,134.5,131.75,117.25,112.25,99.25,82.5,70.25,59.75,40.0,28.75,1744.25
20,3017,Weekday,5.0,73.4,45.1,21.0,22.5,52.0,125.8,271.8,482.1,469.1,328.2,319.6,351.5,384.2,412.5,529.5,525.7,540.5,544.6,542.8,463.3,359.1,251.2,186.8,141.4,7443.7
21,3017,Weekend,5.0,178.125,103.25,61.0,43.0,36.375,51.125,81.625,143.375,236.625,318.375,394.5,453.125,501.5,518.0,494.0,470.125,470.625,437.0,439.0,382.375,309.875,241.5,173.25,155.0,6692.75
22,3115,Weekday,5.0,64.0,35.5,26.0,20.1,37.5,108.8,175.7,329.3,370.5,243.9,243.7,269.8,297.9,307.0,392.3,443.4,412.2,412.3,380.8,349.6,262.0,165.5,109.7,87.5,5545.0
23,3720,Weekday,5.0,52.75,26.75,17.45,14.75,26.65,73.8,210.3,431.7,421.55,358.6,379.7,412.4,422.8,439.85,480.55,513.8,524.85,508.15,475.05,417.4,316.95,226.9,138.5,95.2,6986.4
24,3720,Weekend,5.0,142.5,83.375,48.25,31.0,22.375,37.375,68.125,164.25,293.875,383.375,460.75,517.0,548.75,550.25,496.5,461.125,429.875,429.625,430.625,378.625,271.75,204.5,152.25,123.875,6730.0
25,4234,Weekday,5.0,21.4,12.9,9.2,6.1,10.1,35.0,64.3,148.8,134.7,72.3,69.2,84.3,90.3,101.8,127.6,140.6,127.4,141.8,143.7,119.0,76.2,49.6,35.6,21.8,1843.7
26,4237,Weekday,5.0,13.8,7.9,5.6,5.3,12.8,27.6,63.4,145.3,148.9,89.4,89.8,91.6,87.4,100.7,148.8,141.7,144.6,165.0,154.9,122.3,82.8,62.3,41.6,30.2,1983.7
27,4237,Weekend,5.0,40.875,25.5,14.375,12.375,9.375,10.625,20.625,40.0,57.5,85.25,103.25,111.375,125.375,120.375,121.5,120.75,117.0,107.375,105.25,92.125,67.625,52.5,42.875,32.5,1636.375
28,4297,Weekday,5.0,2.3,1.3,1.2,0.9,2.1,5.9,17.9,37.2,24.5,14.9,16.1,16.8,20.0,18.2,25.7,26.3,26.4,30.0,26.8,21.8,19.5,13.5,9.0,6.2,384.5
29,4297,Weekend,5.0,6.875,3.875,3.125,1.125,2.75,2.5,4.5,8.625,15.0,15.5,24.125,23.125,26.625,26.0,23.125,21.625,24.75,22.875,22.5,17.75,13.25,10.375,7.875,6.125,334.0
30,4340,Weekday,5.0,83.27777777777777,58.333333333333336,37.55555555555556,36.05555555555556,60.55555555555556,143.33333333333334,341.22222222222223,520.7777777777778,573.5555555555555,454.1111111111111,410.94444444444446,419.05555555555554,451.0,471.44444444444446,513.0,550.1111111111111,571.7222222222222,594.5555555555555,544.5,448.72222222222223,340.6111111111111,264.44444444444446,187.72222222222223,144.61111111111111,8221.222222222223
31,4340,Weekend,5.0,148.6,98.3,80.7,54.2,51.5,58.3,99.5,146.4,220.4,292.5,318.2,385.2,405.8,414.7,386.3,366.3,372.6,317.4,287.3,249.1,199.9,145.6,126.1,96.4,5321.3
33,4832,Weekend,5.0,80.625,52.5,34.75,25.375,24.75,30.0,54.875,122.625,194.0,238.5,277.875,349.125,367.375,375.75,333.25,312.375,309.5,286.75,269.375,235.75,174.625,145.75,126.0,95.375,4516.875
32,4832,Weekday,5.0,68.2,31.9,23.3,27.5,33.6,71.7,172.8,317.1,343.6,280.9,286.8,302.9,323.9,327.0,353.9,397.3,429.6,438.5,387.8,318.2,223.5,181.8,184.8,146.6,5673.2
34,4876,Weekday,5.0,49.3,28.8,21.3,24.7,32.9,62.8,178.9,319.6,391.2,284.2,270.6,292.8,322.2,343.5,382.1,423.5,463.4,450.3,403.2,320.1,236.1,178.2,121.7,97.5,5698.9
35,4876,Weekend,5.0,88.5,53.0,45.0,24.0,31.0,40.0,68.5,121.0,202.5,271.5,291.5,346.0,,,,,,,,,,,,,
