,Roadway Name,From,To,day,LBoro,Segment ID,LZip,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
1544,Church St , Duane Street  , Reade Street  ,Weekday,1,23396,10013,660.6,452.2,327.8,249.4,257.8,375.8,839.8,1114.8,1145.4,1219.0,1194.2,1141.6,1121.8,1084.4,1133.2,1078.2,1053.4,1074.0,1036.8,1048.0,1012.8,1089.8,940.6,840.4,21491.8
1545,Church St , Duane Street  , Reade Street  ,Weekend,1,23396,10013,824.75,782.0,755.25,625.25,460.0,262.75,287.75,422.5,568.5,593.5,748.25,819.75,932.25,894.0,845.75,907.0,858.75,934.5,988.0,832.75,852.0,890.0,808.75,719.0,17613.0
1241,Broadway,Duane Street,Thomas Street,Weekday,1,23407,10007,483.6666666666667,607.8333333333334,572.3333333333334,546.1666666666666,538.1666666666666,539.0,539.3333333333334,514.1666666666666,512.8333333333334,545.3333333333334,532.5,547.0,614.3333333333334,644.3333333333334,694.5,712.3333333333334,707.5,696.0,680.5,516.1666666666666,384.1666666666667,314.1666666666667,291.6666666666667,330.3333333333333,13064.333333333334
1242,Broadway,Duane Street,Thomas Street,Weekend,1,23407,10007,313.0,337.0,428.75,448.0,495.0,494.5,591.25,568.0,477.25,520.25,535.0,490.5,558.5,554.75,612.5,704.5,661.0,640.25,583.5,500.25,395.25,357.0,302.25,295.75,11864.0
66, Chambers St , Broadway  , Centre Street  ,Weekday,1,23408,10007,144.5,89.3,62.3,42.2,52.7,89.9,340.4,363.1,373.6,370.9,364.8,337.7,336.5,349.6,365.9,421.9,446.1,434.6,429.5,399.7,389.3,370.8,254.1,190.9,7020.3
67, Chambers St , Broadway  , Centre Street  ,Weekend,1,23408,10007,180.0,146.125,107.25,87.5,99.625,67.75,62.0,163.375,242.375,326.5,348.125,367.375,372.125,391.5,398.75,404.5,409.125,369.25,383.5,376.625,348.5,355.875,314.875,216.875,6539.5
1508,Chambers St,Elk Street,Broadway,Weekday,1,23408,10007,276.7,195.5,136.85,113.5,162.25,263.45,426.95,492.8,427.15,371.45,394.8,415.65,407.25,412.4,472.95,434.0,475.05,459.5,468.9,433.85,422.6,450.2,433.4,402.3,8949.45
1509,Chambers St,Elk Street,Broadway,Weekend,1,23408,10007,412.625,331.0,214.0625,203.0,193.9375,210.1875,263.0625,305.8125,361.0,387.625,452.0625,454.8125,481.625,486.1875,499.9375,513.125,506.125,501.125,493.9375,510.625,473.625,416.3125,403.625,355.125,9430.5625
1502,Centre St,Duane Street,Reade Street,Weekday,1,23560,10007,28.8,15.6,12.6,11.6,25.6,59.4,379.6,559.4,672.4,609.8,353.4,392.0,406.6,396.0,460.4,535.0,584.6,604.4,543.0,432.6,388.4,369.6,285.8,51.6,8178.2
1503,Centre St,Duane Street,Reade Street,Weekend,1,23560,10007,10.5,7.5,3.0,6.5,4.25,4.25,14.75,75.75,105.75,219.25,198.75,205.75,208.5,191.25,214.75,250.25,240.25,237.0,217.5,186.0,178.75,149.25,138.75,100.5,3168.75
1504,Centre St,Lafayette Street,Duane Street,Weekday,1,23560,10007,289.0,217.0,151.9,109.3,134.7,238.0,387.4,539.3,609.7,531.4,405.4,344.4,360.4,374.4,398.8,417.5,443.8,471.6,455.8,453.1,389.0,382.1,394.6,364.7,8863.3
1505,Centre St,Lafayette Street,Duane Street,Weekend,1,23560,10007,386.0,384.375,318.25,285.0,204.75,210.5,244.75,329.0,391.625,471.125,458.75,433.0,435.375,393.75,399.25,416.125,428.75,415.875,388.875,349.625,356.25,343.75,379.0,338.375,8762.125
2777,Lafayette St,Centre Street,Duane Street,Weekday,1,23561,10007,223.6,158.6,106.6,90.9,100.0,168.2,248.1,336.5,368.6,377.4,405.8,442.8,392.7,367.7,375.2,398.6,393.1,378.0,418.2,401.7,342.8,342.2,327.9,288.8,7454.0
2778,Lafayette St,Centre Street,Duane Street,Weekend,1,23561,10007,340.75,283.875,215.75,194.25,134.875,113.5,129.75,170.0,212.25,249.5,320.625,363.5,406.625,429.5,436.5,444.75,473.25,476.375,446.0,408.625,383.625,388.5,336.5,301.0,7659.875
2795,Layafette St,Duane Street,Reade Street,Weekday,1,23561,10007,236.2,151.2,101.6,78.6,103.2,157.8,291.6,378.2,474.0,483.8,477.2,506.2,511.4,509.4,527.8,507.4,508.4,501.0,469.0,388.0,347.4,378.8,358.2,354.8,8801.2
2796,Layafette St,Duane Street,Reade Street,Weekend,1,23561,10007,345.25,313.5,251.5,208.5,159.0,119.75,131.75,176.0,232.25,275.0,312.0,347.75,341.0,389.5,396.25,442.5,407.5,411.5,423.5,403.0,390.0,381.25,344.25,294.25,7496.75
1506,Centre St,Worth Street,Pearl Street,Weekday,1,23580,10007,37.2,19.2,18.2,13.6,29.8,50.2,414.4,602.0,617.4,559.0,382.2,388.0,380.2,376.6,446.2,533.4,567.8,597.4,564.6,435.6,408.2,381.6,332.6,98.2,8253.6
1507,Centre St,Worth Street,Pearl Street,Weekend,1,23580,10007,325.5,242.5,196.25,218.0,189.0,138.25,152.5,219.25,250.5,215.75,222.75,204.5,339.5,365.0,321.0,323.75,335.0,326.25,361.25,324.25,279.5,248.75,263.25,211.75,6274.0
3868,St James Pl,Madison Street,James Street,Weekday,1,23752,10038,177.05,117.1,94.75,69.4,74.3,128.85,220.85,356.4,398.25,358.65,366.35,386.55,361.05,355.75,379.75,387.1,369.65,378.95,355.85,355.8,324.65,323.85,290.1,236.2,6867.2
3869,St James Pl,Madison Street,James Street,Weekend,1,23752,10038,285.25,237.0,217.875,151.0625,108.9375,75.5,110.1875,134.5,174.1875,217.375,255.375,286.625,322.1875,321.1875,331.5,328.1875,314.625,318.125,314.9375,335.0625,324.25,319.6875,302.75,260.625,6047.0
3887,St. James Pl,Madison Street,James Street,Weekday,1,23752,10038,159.9,116.9,78.9,67.5,85.9,218.0,243.3,371.5,455.8,428.8,402.0,389.0,412.8,393.2,396.7,395.5,375.2,399.8,369.7,301.9,294.4,255.6,247.4,247.3,7107.0
3888,St. James Pl,Madison Street,James Street,Weekend,1,23752,10038,243.125,213.75,201.875,176.75,126.25,105.625,176.5,181.625,219.625,227.125,241.375,265.0,265.75,296.0,296.5,308.875,306.625,300.125,295.625,290.125,284.5,254.0,284.875,243.25,5804.875
3034,Market St,Cherry Street,South Street,Weekday,1,23942,10002,64.0,27.6,17.3,14.2,16.9,52.0,59.2,88.2,94.7,89.7,97.7,91.9,83.9,89.0,88.8,104.2,109.3,115.0,102.5,103.4,95.3,78.8,83.7,100.4,1867.7
